epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4776785671710968,9.999999747378752e-05,2.1027042865753174,0.6428571343421936,1.8978540897369385
1,0.59375,9.999999747378752e-05,1.9149940013885498,0.7142857313156128,1.8393899202346802
2,0.6383928656578064,9.999999747378752e-05,1.8933703899383545,0.7142857313156128,1.7909185886383057
3,0.7232142686843872,9.999999747378752e-05,1.7285568714141846,0.7142857313156128,1.7451153993606567
4,0.7455357313156128,9.999999747378752e-05,1.7463998794555664,0.7142857313156128,1.7017556428909302
5,0.7767857313156128,9.999999747378752e-05,1.6756621599197388,0.7142857313156128,1.6653461456298828
6,0.7321428656578064,9.999999747378752e-05,1.700618028640747,0.75,1.6329683065414429
7,0.7991071343421936,9.999999747378752e-05,1.5937612056732178,0.75,1.5975602865219116
8,0.7633928656578064,9.999999747378752e-05,1.5937429666519165,0.8214285969734192,1.565631628036499
9,0.7767857313156128,9.999999747378752e-05,1.5633705854415894,0.8214285969734192,1.5375717878341675
10,0.75,9.999999747378752e-05,1.6228516101837158,0.8214285969734192,1.5142427682876587
11,0.8392857313156128,9.999999747378752e-05,1.5058748722076416,0.8214285969734192,1.489998698234558
12,0.8571428656578064,9.999999747378752e-05,1.4601856470108032,0.8214285969734192,1.465159296989441
13,0.8571428656578064,9.999999747378752e-05,1.431667685508728,0.8214285969734192,1.440651535987854
14,0.8080357313156128,9.999999747378752e-06,1.5006757974624634,0.8214285969734192,1.4348070621490479
15,0.8571428656578064,9.999999747378752e-06,1.4300423860549927,0.8214285969734192,1.4286539554595947
16,0.8214285969734192,9.999999747378752e-06,1.4897782802581787,0.8214285969734192,1.4244142770767212
17,0.8616071343421936,9.999999747378752e-06,1.3954474925994873,0.8214285969734192,1.416456937789917
18,0.8616071343421936,9.999999747378752e-06,1.4008945226669312,0.8214285969734192,1.4133384227752686
